Year,Product,Element,Value_Sum,Value_Mean,Nb_Observations,Data_Source,Precip_Total_mm,Temp_Mean_C,Humidity_Pct,Wind_Speed_ms,Solar_Radiation,Precip_Autumn_mm,Precip_Winter_mm,Precip_Spring_mm,Dry_Year,Winter_Spring_Deficit,Thermal_Amplitude,Spring_Rain_Ratio,Crop_Type,Crop_Type_FR,Value_Mean_Log,Crop_Type_Code,Superficie_ha
1985,Abricots,Rendement,5935.0,5935.0,1,FAOSTAT,269.788,12.654,52.335,3.182,16.425,61.464,124.001,84.322,0,39.68,13.85,0.313,Fruit,Fruits,8.688790784847216,2,12300.0
1986,Abricots,Rendement,5935.0,5935.0,1,FAOSTAT,238.003,13.077,53.556,3.128,16.528,45.546,99.7,92.757,0,6.94,13.49,0.39,Fruit,Fruits,8.688790784847216,2,12300.0
1987,Abricots,Rendement,5935.0,5935.0,1,FAOSTAT,436.459,13.668,54.164,2.935,16.274,93.249,316.031,27.179,0,288.85,13.35,0.062,Fruit,Fruits,8.688790784847216,2,12300.0
1988,Abricots,Rendement,7022.9,7022.9,1,FAOSTAT,381.192,13.036,59.123,3.039,16.178,102.508,203.706,74.98,0,128.73,12.88,0.197,Fruit,Fruits,8.857073898311556,2,13100.0
1989,Abricots,Rendement,6044.8,6044.8,1,FAOSTAT,385.105,12.407,57.15,3.021,16.379,131.314,103.575,150.215,0,-46.64,12.71,0.39,Fruit,Fruits,8.707119095070126,2,13400.0
1990,Abricots,Rendement,5459.3,5459.3,1,FAOSTAT,386.295,13.76,57.98,3.082,16.56,115.812,113.06,157.422,0,-44.36,12.78,0.408,Fruit,Fruits,8.605259012284472,2,13500.0
1991,Abricots,Rendement,6633.1,6633.1,1,FAOSTAT,431.234,12.17,59.206,3.022,16.612,37.024,190.927,203.284,0,-12.36,12.69,0.471,Fruit,Fruits,8.799978293255311,2,13900.0
1992,Abricots,Rendement,4888.9,4888.9,1,FAOSTAT,260.065,12.548,53.522,3.03,17.035,40.472,75.111,144.482,0,-69.37,13.04,0.556,Fruit,Fruits,8.494927132362065,2,13500.0
1993,Abricots,Rendement,8391.6,8391.6,1,FAOSTAT,243.184,12.235,52.98,3.016,16.803,45.823,89.666,107.696,0,-18.03,13.35,0.443,Fruit,Fruits,9.035105644183858,2,14300.0
1994,Abricots,Rendement,6069.0,6069.0,1,FAOSTAT,367.713,12.323,59.463,3.116,16.876,170.949,148.23,48.534,0,99.7,12.94,0.132,Fruit,Fruits,8.711113884053544,2,14500.0
1995,Abricots,Rendement,5693.4,5693.4,1,FAOSTAT,304.429,13.854,52.633,2.854,17.224,92.445,39.114,172.871,0,-133.76,13.54,0.568,Fruit,Fruits,8.647238514755928,2,13700.0
1996,Abricots,Rendement,6384.1,6384.1,1,FAOSTAT,546.167,13.089,61.852,3.169,16.104,69.7,304.609,171.858,0,132.75,12.07,0.315,Fruit,Fruits,8.761722430051123,2,13800.0
1997,Abricots,Rendement,7507.2,7507.2,1,FAOSTAT,458.247,13.69,56.152,2.989,17.852,33.374,247.388,177.486,0,69.9,12.77,0.387,Fruit,Fruits,8.923751035604138,2,13800.0
1998,Abricots,Rendement,8588.2,8588.2,1,FAOSTAT,289.165,13.871,56.304,3.113,17.948,64.471,173.763,50.931,0,122.83,13.33,0.176,Fruit,Fruits,9.058260879092977,2,13600.0
1999,Abricots,Rendement,7639.8,7639.8,1,FAOSTAT,239.054,13.584,48.696,3.041,18.521,6.289,171.008,61.756,0,109.25,14.0,0.258,Fruit,Fruits,8.941257588720529,2,13927.0
2000,Abricots,Rendement,8591.3,8591.3,1,FAOSTAT,244.512,13.388,51.878,3.085,17.638,112.874,52.997,78.641,0,-25.64,13.74,0.322,Fruit,Fruits,9.058621732340207,2,13921.0
2001,Abricots,Rendement,7613.1,7613.1,1,FAOSTAT,264.19,13.57,51.706,3.165,18.514,99.241,130.804,34.146,0,96.66,14.1,0.129,Fruit,Fruits,8.937757070557273,2,13700.0
2002,Abricots,Rendement,6896.0,6896.0,1,FAOSTAT,301.615,14.263,50.509,3.06,17.625,38.311,83.644,179.661,0,-96.02,13.41,0.596,Fruit,Fruits,8.83884181343129,2,12500.0
2003,Abricots,Rendement,7786.2,7786.2,1,FAOSTAT,310.451,14.022,53.554,3.134,18.021,129.639,95.688,85.124,0,10.56,13.44,0.274,Fruit,Fruits,8.96023663907919,2,12580.0
2004,Abricots,Rendement,6805.4,6805.4,1,FAOSTAT,362.514,12.892,57.379,3.132,17.432,107.264,111.054,144.196,0,-33.14,12.98,0.398,Fruit,Fruits,8.825618625005918,2,12490.0
2005,Abricots,Rendement,8633.3,8633.3,1,FAOSTAT,227.186,13.375,50.753,3.016,17.776,83.56,115.84,27.787,0,88.05,13.57,0.122,Fruit,Fruits,9.063497921863416,2,12000.0
2006,Abricots,Rendement,11016.2,11016.2,1,FAOSTAT,423.234,13.094,58.325,3.046,17.237,87.418,237.247,98.57,0,138.68,12.69,0.233,Fruit,Fruits,9.307212966937655,2,11750.0
2007,Abricots,Rendement,9279.1,9279.1,1,FAOSTAT,311.23,13.263,52.574,2.954,17.797,73.112,100.493,137.626,0,-37.13,13.27,0.442,Fruit,Fruits,9.135627601584256,2,11341.0
2008,Abricots,Rendement,10120.3,10120.3,1,FAOSTAT,296.467,13.584,52.39,3.03,18.129,120.328,132.254,43.885,0,88.37,13.34,0.148,Fruit,Fruits,9.222397393089393,2,11187.0
2009,Abricots,Rendement,11932.7,11932.7,1,FAOSTAT,504.233,11.57,64.805,3.046,17.5,211.098,207.003,86.132,0,120.87,12.13,0.171,Fruit,Fruits,9.387121609505623,2,11196.0
2010,Abricots,Rendement,11020.3,11020.3,1,FAOSTAT,471.288,14.396,57.581,3.248,17.383,22.323,347.012,101.954,0,245.06,12.8,0.216,Fruit,Fruits,9.30758504308143,2,12244.0
2011,Abricots,Rendement,12724.8,12724.8,1,FAOSTAT,485.542,13.321,57.158,3.108,17.234,127.327,120.092,238.122,0,-118.03,12.69,0.49,Fruit,Fruits,9.451386707811942,2,12505.0
2012,Abricots,Rendement,10012.7,10012.7,1,FAOSTAT,346.863,12.578,53.315,2.944,18.196,168.254,48.628,129.981,0,-81.35,13.09,0.375,Fruit,Fruits,9.21170943438242,2,12225.0
2013,Abricots,Rendement,8188.1,8188.1,1,FAOSTAT,414.146,12.949,57.514,3.227,18.122,187.581,71.056,155.51,0,-84.45,13.07,0.375,Fruit,Fruits,9.010559280698864,2,12298.0
2014,Abricots,Rendement,7303.9,7303.9,1,FAOSTAT,250.687,13.902,51.69,3.009,18.196,45.842,120.52,84.325,0,36.19,13.58,0.336,Fruit,Fruits,8.896300634837166,2,12360.0
2015,Abricots,Rendement,8366.0,8366.0,1,FAOSTAT,397.459,13.308,59.19,3.106,17.726,190.54,125.0,81.918,0,43.08,12.64,0.206,Fruit,Fruits,9.032050676295599,2,12426.0
2016,Abricots,Rendement,5488.9,5488.9,1,FAOSTAT,157.259,14.016,48.976,3.009,18.307,26.921,48.406,81.932,1,-33.53,13.71,0.521,Fruit,Fruits,8.610665319401434,2,12964.0
2017,Abricots,Rendement,9855.7,9855.7,1,FAOSTAT,286.144,13.958,54.49,2.889,17.923,96.665,157.861,31.618,0,126.24,13.21,0.11,Fruit,Fruits,9.19590670597858,2,11419.0
2018,Abricots,Rendement,9110.4,9110.4,1,FAOSTAT,361.25,12.8,52.966,3.12,17.689,32.621,152.041,176.588,0,-24.55,13.11,0.489,Fruit,Fruits,9.117281655724577,2,11153.0
2019,Abricots,Rendement,9915.6,9915.6,1,FAOSTAT,285.454,13.73,52.653,2.845,18.418,148.089,25.397,111.968,0,-86.57,13.47,0.392,Fruit,Fruits,9.201965399593993,2,11073.0
2020,Abricots,Rendement,8779.4,8779.4,1,FAOSTAT,338.06,14.408,50.501,2.918,18.251,38.232,59.293,240.535,0,-181.24,13.46,0.712,Fruit,Fruits,9.080277243677985,2,10594.0
2021,Abricots,Rendement,7451.5,7451.5,1,FAOSTAT,289.154,14.024,55.62,3.035,17.862,61.059,147.256,80.84,0,66.42,13.17,0.28,Fruit,Fruits,8.916304825552226,2,10528.0
2022,Abricots,Rendement,7321.5,7321.5,1,FAOSTAT,417.153,13.854,52.636,2.929,18.115,33.636,55.507,328.011,0,-272.5,13.47,0.786,Fruit,Fruits,8.89870707870189,2,9288.0
2023,Abricots,Rendement,7079.0,7079.0,1,FAOSTAT,192.092,15.458,47.143,2.922,17.947,23.989,117.1,51.004,1,66.1,13.58,0.266,Fruit,Fruits,8.865029186687766,2,8334.0
2024,Abricots,Rendement,7591.7,7591.7,1,FAOSTAT,160.01,15.837,42.215,3.046,18.225,32.529,55.632,71.849,1,-16.22,14.18,0.449,Fruit,Fruits,8.934942538357621,2,5376.0
1981,Ail frais,Rendement,4500.0,4500.0,1,FAOSTAT,192.556,13.405,56.9,3.007,17.182,0.0,81.626,110.93,1,-29.3,13.64,0.576,Vegetable,Légumes,8.412054873292933,5,400.0
1982,Ail frais,Rendement,4000.0,4000.0,1,FAOSTAT,612.315,14.652,58.989,2.974,17.182,18.51,300.035,293.77,0,6.27,12.42,0.48,Vegetable,Légumes,8.294299608857235,5,500.0
1983,Ail frais,Rendement,4000.0,4000.0,1,FAOSTAT,335.948,13.747,56.822,2.978,17.182,84.821,182.463,68.664,0,113.8,12.87,0.204,Vegetable,Légumes,8.294299608857235,5,750.0
1984,Ail frais,Rendement,4000.0,4000.0,1,FAOSTAT,367.519,13.985,58.558,3.095,17.182,79.601,83.384,204.534,0,-121.15,12.72,0.557,Vegetable,Légumes,8.294299608857235,5,1000.0
1985,Ail frais,Rendement,4166.7,4166.7,1,FAOSTAT,328.31,13.611,56.855,3.299,15.682,88.994,145.528,93.789,0,51.74,13.36,0.286,Vegetable,Légumes,8.335119603875366,5,1200.0
1986,Ail frais,Rendement,4615.4,4615.4,1,FAOSTAT,351.471,13.912,59.261,3.149,15.682,62.597,161.253,127.622,0,33.63,12.66,0.363,Vegetable,Légumes,8.43737045954625,5,1300.0
1987,Ail frais,Rendement,5034.5,5034.5,1,FAOSTAT,470.52,14.563,58.323,2.954,15.728,95.97,350.943,23.607,0,327.34,12.85,0.05,Vegetable,Légumes,8.524268105088199,5,1450.0
1988,Ail frais,Rendement,5062.5,5062.5,1,FAOSTAT,478.059,13.683,65.044,2.966,15.51,144.463,239.782,93.813,0,145.97,12.22,0.196,Vegetable,Légumes,8.52981322277234,5,1600.0
1989,Ail frais,Rendement,3833.1,3833.1,1,FAOSTAT,444.21,13.61,59.878,3.134,15.625,130.917,115.224,198.069,0,-82.84,12.59,0.446,Vegetable,Légumes,8.251690005685898,5,1726.0
1990,Ail frais,Rendement,5311.4,5311.4,1,FAOSTAT,465.068,14.894,61.188,3.143,15.895,134.837,147.705,182.525,0,-34.82,12.63,0.392,Vegetable,Légumes,8.577798989526096,5,2078.0
1991,Ail frais,Rendement,6461.0,6461.0,1,FAOSTAT,525.095,13.019,64.038,3.058,15.698,68.97,242.105,214.02,0,28.08,12.07,0.408,Vegetable,Légumes,8.773694146384443,5,2126.0
1992,Ail frais,Rendement,4565.2,4565.2,1,FAOSTAT,309.64,13.878,55.644,3.152,16.288,47.208,75.681,186.751,0,-111.07,12.93,0.603,Vegetable,Légumes,8.426436628145353,5,2300.0
1993,Ail frais,Rendement,3984.0,3984.0,1,FAOSTAT,294.01,13.164,56.937,3.038,15.938,65.266,88.21,140.534,0,-52.32,13.1,0.478,Vegetable,Légumes,8.290292591224315,5,2500.0
1994,Ail frais,Rendement,8075.9,8075.9,1,FAOSTAT,430.16,13.115,64.114,3.035,15.91,169.137,202.088,58.934,0,143.15,12.45,0.137,Vegetable,Légumes,8.996763414531184,5,2476.0
1995,Ail frais,Rendement,6000.0,6000.0,1,FAOSTAT,297.243,14.953,55.296,2.907,16.603,78.6,51.162,167.482,0,-116.32,13.44,0.563,Vegetable,Légumes,8.699681400989514,5,2000.0
1996,Ail frais,Rendement,5333.3,5333.3,1,FAOSTAT,669.184,14.255,64.967,3.245,15.087,62.522,388.663,218.0,0,170.66,11.57,0.326,Vegetable,Légumes,8.581912946130013,5,1500.0
1997,Ail frais,Rendement,4230.4,4230.4,1,FAOSTAT,587.881,14.616,61.819,3.128,16.752,51.87,340.956,195.055,0,145.9,12.33,0.332,Vegetable,Légumes,8.350288186549218,5,2170.0
1998,Ail frais,Rendement,3806.8,3806.8,1,FAOSTAT,432.473,14.624,62.534,3.167,16.692,123.931,235.301,73.241,0,162.06,12.49,0.169,Vegetable,Légumes,8.244806873523576,5,1760.0
1999,Ail frais,Rendement,5137.0,5137.0,1,FAOSTAT,298.853,14.335,54.214,3.03,17.566,11.988,216.853,70.012,0,146.84,13.58,0.234,Vegetable,Légumes,8.544419177669829,5,1935.0
2000,Ail frais,Rendement,6641.8,6641.8,1,FAOSTAT,312.059,14.384,57.312,3.083,16.639,132.316,72.534,107.21,0,-34.68,13.47,0.344,Vegetable,Légumes,8.801288840332598,5,2415.0
2001,Ail frais,Rendement,5619.8,5619.8,1,FAOSTAT,402.375,14.253,59.044,3.271,17.153,132.916,226.313,43.146,0,183.17,13.26,0.107,Vegetable,Légumes,8.634229281511562,5,1920.0
2002,Ail frais,Rendement,5666.7,5666.7,1,FAOSTAT,359.598,15.299,54.643,3.134,16.442,32.687,106.968,219.943,0,-112.98,13.21,0.612,Vegetable,Légumes,8.642538670687143,5,1560.0
2003,Ail frais,Rendement,5386.0,5386.0,1,FAOSTAT,484.168,14.717,61.203,3.134,16.604,196.974,161.894,125.3,0,36.59,12.7,0.259,Vegetable,Légumes,8.591743922680534,5,2785.0
2004,Ail frais,Rendement,10439.6,10439.6,1,FAOSTAT,485.95,13.705,63.601,3.144,15.871,176.432,150.206,159.312,0,-9.11,12.2,0.328,Vegetable,Légumes,9.253457331049587,5,2070.0
2005,Ail frais,Rendement,5326.8,5326.8,1,FAOSTAT,279.647,14.236,55.632,3.05,16.933,114.27,127.511,37.866,0,89.64,13.29,0.135,Vegetable,Légumes,8.580693673978137,5,4100.0
2006,Ail frais,Rendement,5477.7,5477.7,1,FAOSTAT,523.426,13.97,63.38,3.023,16.026,118.993,289.148,115.285,0,173.86,12.27,0.22,Vegetable,Légumes,8.608623125522085,5,3695.0
2007,Ail frais,Rendement,9358.1,9358.1,1,FAOSTAT,350.741,14.235,55.844,3.001,16.766,65.757,117.765,167.219,0,-49.45,13.09,0.477,Vegetable,Légumes,9.144104411002406,5,1550.0
2008,Ail frais,Rendement,8699.0,8699.0,1,FAOSTAT,347.611,14.552,56.06,3.14,17.094,120.62,163.261,63.73,0,99.53,13.08,0.183,Vegetable,Légumes,9.071078304642676,5,1445.0
2009,Ail frais,Rendement,8571.4,8571.4,1,FAOSTAT,727.062,12.624,69.383,3.218,16.169,243.041,369.3,114.721,0,254.58,11.5,0.158,Vegetable,Légumes,9.05630301906052,5,1470.0
2010,Ail frais,Rendement,7479.7,7479.7,1,FAOSTAT,729.237,15.204,63.091,3.416,16.153,43.465,499.208,186.564,0,312.64,12.01,0.256,Vegetable,Légumes,8.920081649477618,5,1380.0
2011,Ail frais,Rendement,14789.2,14789.2,1,FAOSTAT,707.072,14.302,63.12,3.264,16.107,215.29,218.061,273.722,0,-55.66,12.15,0.387,Vegetable,Légumes,9.601720078263854,5,1513.0
2012,Ail frais,Rendement,6029.6,6029.6,1,FAOSTAT,422.721,13.652,57.047,3.014,17.323,229.876,63.239,129.606,0,-66.37,12.92,0.307,Vegetable,Légumes,8.70460178725875,5,878.0
2013,Ail frais,Rendement,6412.1,6412.1,1,FAOSTAT,656.219,13.618,64.528,3.26,16.664,260.937,160.552,234.73,0,-74.18,12.08,0.358,Vegetable,Légumes,8.766098052353344,5,1058.0
2014,Ail frais,Rendement,8209.8,8209.8,1,FAOSTAT,384.946,14.547,58.669,3.048,17.277,84.595,205.666,94.686,0,110.98,13.07,0.246,Vegetable,Légumes,9.013205639843024,5,939.0
2015,Ail frais,Rendement,6153.9,6153.9,1,FAOSTAT,544.868,14.304,64.026,3.075,16.579,227.826,198.655,118.386,0,80.27,12.1,0.217,Vegetable,Légumes,8.725003791532874,5,1202.0
2016,Ail frais,Rendement,10654.8,10654.8,1,FAOSTAT,276.207,14.77,54.681,2.971,17.142,39.372,105.446,131.389,0,-25.94,13.22,0.476,Vegetable,Légumes,9.273859623835266,5,1179.0
2017,Ail frais,Rendement,10419.5,10419.5,1,FAOSTAT,403.714,14.986,58.903,3.049,16.924,133.993,220.414,49.308,0,171.11,12.93,0.122,Vegetable,Légumes,9.251530298801045,5,1311.0
2018,Ail frais,Rendement,9971.4,9971.4,1,FAOSTAT,572.487,13.699,58.535,3.159,16.316,52.145,214.158,306.184,0,-92.03,12.42,0.535,Vegetable,Légumes,9.207576556153452,5,1365.0
2019,Ail frais,Rendement,7507.1,7507.1,1,FAOSTAT,415.283,14.646,57.972,2.972,17.477,237.556,69.52,108.207,0,-38.69,13.05,0.261,Vegetable,Légumes,8.923737716743966,5,1375.0
2020,Ail frais,Rendement,5175.7,5175.7,1,FAOSTAT,422.473,15.222,56.525,2.988,17.107,76.263,87.204,259.006,0,-171.8,12.99,0.613,Vegetable,Légumes,8.551923066603925,5,2310.0
2021,Ail frais,Rendement,7352.4,7352.4,1,FAOSTAT,430.817,14.907,61.164,3.06,16.728,61.768,269.251,99.798,0,169.45,12.64,0.232,Vegetable,Légumes,8.902918070281423,5,1507.0
2022,Ail frais,Rendement,7977.5,7977.5,1,FAOSTAT,293.586,15.326,54.044,3.099,17.139,44.463,68.471,180.652,0,-112.18,13.42,0.615,Vegetable,Légumes,8.984505702850482,5,2655.0
2023,Ail frais,Rendement,8156.0,8156.0,1,FAOSTAT,265.903,16.624,51.763,3.099,17.048,40.35,169.051,56.503,0,112.55,13.43,0.212,Vegetable,Légumes,9.00663173330058,5,2606.0
2024,Ail frais,Rendement,8780.8,8780.8,1,FAOSTAT,249.722,16.773,48.494,3.22,17.259,52.395,89.958,107.368,0,-17.41,13.87,0.43,Vegetable,Légumes,9.080436677006722,5,2685.0
1981,Aubergines,Rendement,14473.7,14473.7,1,FAOSTAT,96.949,15.799,55.525,3.432,18.836,0.0,53.848,43.101,1,10.75,12.5,0.445,Vegetable,Légumes,9.580157576837822,5,760.0
1982,Aubergines,Rendement,14457.8,14457.8,1,FAOSTAT,413.261,16.999,58.564,3.344,18.836,16.506,228.392,168.363,0,60.03,11.48,0.407,Vegetable,Légumes,9.579058504717231,5,830.0
1983,Aubergines,Rendement,14433.0,14433.0,1,FAOSTAT,156.912,16.317,54.176,3.289,18.836,40.984,80.909,35.019,1,45.89,11.98,0.223,Vegetable,Légumes,9.577341813632218,5,970.0
1984,Aubergines,Rendement,14433.0,14433.0,1,FAOSTAT,198.892,16.449,57.402,3.471,18.836,58.365,47.429,93.098,1,-45.67,11.62,0.468,Vegetable,Légumes,9.577341813632218,5,970.0
1985,Aubergines,Rendement,14545.5,14545.5,1,FAOSTAT,282.034,15.868,59.563,3.653,16.678,98.314,153.965,29.755,0,124.21,11.78,0.106,Vegetable,Légumes,9.58510569383471,5,1100.0
1986,Aubergines,Rendement,14400.0,14400.0,1,FAOSTAT,203.701,16.376,58.034,3.468,16.807,25.099,107.704,70.898,0,36.81,11.76,0.348,Vegetable,Légumes,9.575052927597383,5,1250.0
1987,Aubergines,Rendement,14482.8,14482.8,1,FAOSTAT,293.731,16.78,58.377,3.273,16.52,47.37,223.603,22.758,0,200.84,11.73,0.077,Vegetable,Légumes,9.580786062449958,5,1450.0
1988,Aubergines,Rendement,14428.6,14428.6,1,FAOSTAT,423.851,16.092,64.926,3.482,16.66,102.009,250.44,71.402,0,179.04,11.12,0.168,Vegetable,Légumes,9.57703693135599,5,1400.0
1989,Aubergines,Rendement,14409.1,14409.1,1,FAOSTAT,332.429,15.908,61.294,3.574,16.797,157.038,80.745,94.646,0,-13.9,11.37,0.285,Vegetable,Légumes,9.575684628594749,5,2200.0
1990,Aubergines,Rendement,14537.6,14537.6,1,FAOSTAT,317.96,17.084,61.237,3.561,16.779,107.335,110.705,99.92,0,10.78,11.32,0.314,Vegetable,Légumes,9.584562460344415,5,2900.0
1991,Aubergines,Rendement,14486.8,14486.8,1,FAOSTAT,352.672,15.6,62.834,3.501,17.078,24.695,213.204,114.773,0,98.43,11.33,0.325,Vegetable,Légumes,9.581062194940081,5,2200.0
1992,Aubergines,Rendement,14740.5,14740.5,1,FAOSTAT,184.524,16.388,56.827,3.625,17.184,47.328,65.96,71.236,1,-5.28,11.63,0.386,Vegetable,Légumes,9.598421924473467,5,2000.0
1993,Aubergines,Rendement,14346.2,14346.2,1,FAOSTAT,158.967,15.582,57.905,3.494,17.247,27.058,78.804,53.105,1,25.7,11.72,0.334,Vegetable,Légumes,9.571310080197783,5,1950.0
1994,Aubergines,Rendement,15294.1,15294.1,1,FAOSTAT,286.695,15.479,63.633,3.435,17.135,141.089,96.325,49.281,0,47.04,11.32,0.172,Vegetable,Légumes,9.635287794647972,5,1700.0
1995,Aubergines,Rendement,15006.3,15006.3,1,FAOSTAT,225.16,17.277,56.893,3.33,17.51,60.662,46.522,117.976,0,-71.45,12.13,0.524,Vegetable,Légumes,9.6162920283672,5,1600.0
1996,Aubergines,Rendement,16258.0,16258.0,1,FAOSTAT,476.253,16.669,65.238,3.645,16.245,43.107,319.717,113.429,0,206.29,10.39,0.238,Vegetable,Légumes,9.696401880595555,5,2039.0
1997,Aubergines,Rendement,19953.5,19953.5,1,FAOSTAT,423.831,16.987,62.388,3.448,17.749,65.949,245.044,112.838,0,132.21,11.02,0.266,Vegetable,Légumes,9.90120996079207,5,2150.0
1998,Aubergines,Rendement,18090.4,18090.4,1,FAOSTAT,247.405,17.344,60.092,3.71,17.653,58.977,154.575,33.853,0,120.72,11.61,0.137,Vegetable,Légumes,9.803191966218485,5,2456.0
1999,Aubergines,Rendement,15055.6,15055.6,1,FAOSTAT,219.786,16.736,55.842,3.468,18.395,4.23,150.998,64.558,0,86.44,12.21,0.294,Vegetable,Légumes,9.619571712253226,5,2520.0
2000,Aubergines,Rendement,15719.5,15719.5,1,FAOSTAT,231.136,16.427,59.016,3.423,17.624,118.298,59.841,52.997,0,6.84,11.84,0.229,Vegetable,Légumes,9.662720872093153,5,2175.0
2001,Aubergines,Rendement,17873.5,17873.5,1,FAOSTAT,164.474,16.981,55.227,3.672,18.443,33.437,113.487,17.55,1,95.94,12.54,0.107,Vegetable,Légumes,9.791130395143012,5,1660.0
2002,Aubergines,Rendement,20231.0,20231.0,1,FAOSTAT,246.526,17.465,55.987,3.562,17.278,10.968,106.629,128.929,0,-22.3,11.64,0.523,Vegetable,Légumes,9.915020788349802,5,1515.0
2003,Aubergines,Rendement,20178.5,20178.5,1,FAOSTAT,298.82,17.088,60.509,3.486,17.742,133.204,69.681,95.935,0,-26.25,11.65,0.321,Vegetable,Légumes,9.912422516593708,5,1905.0
2004,Aubergines,Rendement,16583.0,16583.0,1,FAOSTAT,278.264,16.13,61.847,3.597,17.245,109.687,82.064,86.513,0,-4.45,11.2,0.311,Vegetable,Légumes,9.716193654115616,5,2350.0
2005,Aubergines,Rendement,19581.9,19581.9,1,FAOSTAT,190.253,16.46,56.805,3.464,17.793,72.01,93.716,24.527,1,69.19,11.89,0.129,Vegetable,Légumes,9.882412015433902,5,2552.0
2006,Aubergines,Rendement,23542.6,23542.6,1,FAOSTAT,331.21,16.293,62.697,3.424,17.251,78.03,208.551,44.629,0,163.92,11.12,0.135,Vegetable,Légumes,10.066609300302455,5,2405.0
2007,Aubergines,Rendement,19156.3,19156.3,1,FAOSTAT,181.073,16.652,56.033,3.422,17.994,56.665,62.951,61.457,1,1.49,11.9,0.339,Vegetable,Légumes,9.860439123014519,5,1760.0
2008,Aubergines,Rendement,19945.6,19945.6,1,FAOSTAT,205.115,17.049,56.218,3.517,18.169,87.622,93.515,23.978,0,69.54,11.87,0.117,Vegetable,Légumes,9.900813981728675,5,1745.0
2009,Aubergines,Rendement,17373.8,17373.8,1,FAOSTAT,442.796,15.224,66.192,3.623,17.645,145.9,242.414,54.482,0,187.93,10.95,0.123,Vegetable,Légumes,9.762776159575376,5,1755.0
2010,Aubergines,Rendement,16558.2,16558.2,1,FAOSTAT,420.0,17.529,62.536,3.579,17.274,17.371,342.124,60.505,0,281.62,10.98,0.144,Vegetable,Légumes,9.71469711759358,5,2295.0
2011,Aubergines,Rendement,19618.6,19618.6,1,FAOSTAT,502.915,16.667,62.851,3.621,17.228,128.378,146.982,227.555,0,-80.57,11.06,0.452,Vegetable,Légumes,9.884284345551691,5,1775.0
2012,Aubergines,Rendement,24509.8,24509.8,1,FAOSTAT,206.178,16.259,54.918,3.418,18.364,117.922,34.173,54.083,0,-19.91,12.01,0.262,Vegetable,Légumes,10.106869115728376,5,2046.0
2013,Aubergines,Rendement,25865.3,25865.3,1,FAOSTAT,360.67,16.183,62.129,3.596,18.114,149.895,46.896,163.879,0,-116.98,11.49,0.454,Vegetable,Légumes,10.160696242144999,5,2783.0
2014,Aubergines,Rendement,28989.0,28989.0,1,FAOSTAT,211.534,17.007,57.316,3.453,18.133,27.284,111.034,73.216,0,37.82,11.96,0.346,Vegetable,Légumes,10.274706221915702,5,2425.0
2015,Aubergines,Rendement,27663.9,27663.9,1,FAOSTAT,445.425,16.296,64.667,3.345,17.84,281.9,97.381,66.144,0,31.24,11.21,0.148,Vegetable,Légumes,10.227919740650094,5,2056.0
2016,Aubergines,Rendement,14792.0,14792.0,1,FAOSTAT,199.819,16.742,57.313,3.311,18.224,54.169,56.363,89.287,1,-32.92,11.83,0.447,Vegetable,Légumes,9.601909374892236,5,1536.0
2017,Aubergines,Rendement,28106.1,28106.1,1,FAOSTAT,312.071,16.875,60.875,3.217,17.715,124.167,164.174,23.73,0,140.44,11.48,0.076,Vegetable,Légumes,10.243777492445536,5,1885.0
2018,Aubergines,Rendement,26894.7,26894.7,1,FAOSTAT,302.116,16.084,58.651,3.438,17.703,31.268,147.425,123.423,0,24.0,11.47,0.409,Vegetable,Légumes,10.199721701511235,5,1962.0
2019,Aubergines,Rendement,28343.8,28343.8,1,FAOSTAT,224.151,17.009,57.199,3.216,18.37,152.226,21.024,50.901,0,-29.88,12.04,0.227,Vegetable,Légumes,10.25219887081536,5,2409.0
2020,Aubergines,Rendement,24701.0,24701.0,1,FAOSTAT,204.089,17.399,56.05,3.29,18.371,25.474,72.698,105.917,0,-33.22,11.95,0.519,Vegetable,Légumes,10.11463949099796,5,2466.0
2021,Aubergines,Rendement,27850.2,27850.2,1,FAOSTAT,388.779,16.924,61.932,3.32,17.81,96.637,168.492,123.65,0,44.84,11.35,0.318,Vegetable,Légumes,10.234631332398445,5,2910.0
2022,Aubergines,Rendement,22675.8,22675.8,1,FAOSTAT,179.556,17.427,54.77,3.387,17.958,25.074,40.738,113.744,1,-73.01,12.03,0.633,Vegetable,Légumes,10.029097654412642,5,2690.0
2023,Aubergines,Rendement,27086.8,27086.8,1,FAOSTAT,152.746,18.616,52.997,3.291,17.977,15.326,117.647,19.773,1,97.87,11.92,0.129,Vegetable,Légumes,10.206838721002482,5,4029.0
2024,Aubergines,Rendement,27416.2,27416.2,1,FAOSTAT,159.119,18.701,50.289,3.372,18.207,34.306,65.884,58.929,1,6.95,12.32,0.37,Vegetable,Légumes,10.218925832657842,5,4258.0
1981,Autres graines oleagineuses n.a.c.,Rendement,1200.0,1200.0,1,FAOSTAT,192.556,13.405,56.9,3.007,17.182,0.0,81.626,110.93,1,-29.3,13.64,0.576,Cereal,Céréales,7.0909098220799835,0,25.0
1982,Autres graines oleagineuses n.a.c.,Rendement,1200.0,1200.0,1,FAOSTAT,612.315,14.652,58.989,2.974,17.182,18.51,300.035,293.77,0,6.27,12.42,0.48,Cereal,Céréales,7.0909098220799835,0,25.0
